HK06,"Hong Kong
香港地區","The Hong Kong Polytechnic University
香港理工大學",75,Spring: 2 students,"管院大學部學生
UG students of the College of Management",iBT80/IELTS6,,參考網頁 Link
,,,,,,,,Guidebook
,,,,,,,,Academic Calendar
,,,,,,,,研究生不得申請 PG students cannot apply
MO01,"Macau
澳門","University of Macau
澳門大學",367,6 students,"全校大學部二年級以上學生
U-wide UG yr.2 above students",,平均分數 Avg. Score: 62.5+,參考網頁 Link
,,,,,,,,研究生不得申請 PG students cannot apply
JP01,"Japan
日本","Kyushu University
九州大學",124,6 semester spots,"理學院及人社院大學部學生
UG students of the College of Science & College of Humanities & Social Sciences","Recommend: English program: iBT60/IELTS6
Japanese program: JLPT N1",平均分數Avg. Score: 80+ (GPA3.2/4.0),參考網頁 Link
,,,,,,,,Information Sheet
,,,,,,,,"交換至該校共創學部
Exchange to the School of Interdisciplinary Science and Innovation"
,,,,,,,,"無學分、僅可旁聽之課程包含 Courses wihc are not allowed to obtain credit (audit only):
General Education Courses except JACs (KIKAN Education Courses), Lecture Series Courses, Degree Project 1/2/3, Cross Cultural Adjustment 2, International Experience A1/A2/B1/B2"
JP02,"Japan
日本","Chiba University
千葉大學",488,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 and above & PG students","各program要求不同
Varies for different programs",,Fact Sheet
,,,,,,,,J-PAC Outline 2020-2021
,,,,,,,,J-PAC Course List 2020-2021
,,,,,,,,J-PAC Important Info on Courses 2020-2021
,,,,,,,,J-PAC (for UG students)參考網頁 Link
,,,,1 student,"人社院學生-應藝所及建築所碩士班學生
Students of the College of Humanities & Social Sciences",,,Information Sheet
,,,,,,,,"提供交換院系 Available school for exchange:
-Graduate School of Engineering, Graduate School of Science & Engineering"
,,,,2,"理學院學生
Students of the College of Science",,,"提供交換院系 Available school for exchange: Graduate School of Science and Engineering, Faculty of Engineering"
JP03,"Japan
日本","Osaka University
大阪大學",72,3 students,"全校大學部及研究所學生
U-wide UG & PG students","各program要求不同
Varies for different programs",平均分數Avg. Score: 77+,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,需額外申請文件 Extra application document is required
,,,,5 students,"理學院學生
Students of the College of Science",,,參考網頁 Link
,,,,,,,,赴該校理學院交換 Exchange to the Graduate School of Science/School of Science
,,,,5 students,"理學院研究所學生
PG students of the College of Science",,,赴該校科學與工業研究中心交換 Exchange to the Institute of Scientific and Industrial Research
JP04,"Japan
日本","Future University Hakodate
公立函館未來大學",N/A,3 students,"全校大學部及研究所學生
U-wide UG & PG students","UG: JLPT N2 desirable
PG: able to communicate in Japanese or English",,參考網頁 Link
,,,,,,,,"無英語授課課程
No English-taught courses"
JP05,"Japan
日本","Hokkaido University
北海道大學",139,4,"全校大學部三年級以上及研究所學生
U-wide UG Yr.3 above & PG students","各program要求不同
Varies for different programs","各program要求不同
Varies for different programs",參考網頁 Link
,,,,,,,,HUSTEP 20/21 Brochure
,,,,,,,,"1 HUSTEP 1 year: 1 or 2 students
2 HUSTEP fall sem: 1 or 2 students
3 HUSTEP spring sem: 1 or 2 students
4 JLCSP 1 year :In principal, 1student
5 JLCSP fall sem: In principal,1student
6 JLCSP spring sem: In principal,1student
7 SAS/SRS:up to 5 students"
,,,,,,,,需額外申請文件 Extra application document is required
JP06,"Japan
日本","Japan Advanced Institute of Science and Technology (JAIST)
北陸先端科學技術大學院大學",N/A,5 students,"全校大學部三年級以上及研究所學生
U-wide UG yr.3 above & PG students",,,參考網頁 Link
,,,,,,,,"學生以研究為主，但每學期仍需修讀2門專業課程 Students will mainly do reseach with a professor at JAIST, but at the same time required to take at least 2 profesional courses per semester"
JP07,"Japan
日本","Kyoto Institute of Technology
京都工藝纖維大學",801-1000,2,"全校大學部以及研究所學生
U-wide UG & PG students",,,參考網頁 Link
,,,,,,,,Fact Sheet
JP08,"Japan
日本","Nara Institute of Science and Technology (NAIST)
奈良先端科學技術大學",N/A,3 students,"全校研究所學生
U-wide PG students",,,參考網頁 Link
,,,,,,,,"學生以研究為主，但每學期仍需修讀2門專業課程 Students will mainly do reseach with a professor at JAIST, but at the same time required to take at least 2 profesional courses per semester"
JP09,"Japan
日本","Tohoku University
東北大學",79,1,"全校大學部及研究所學生
U-wide UG & PG students","各program要求不同
Varies for different programs",,參考網頁 Link
,,,,,,,,需額外申請文件 Extra application document is required
JP10,"Japan
日本","The University of Tokyo
東京大學",22,2,"全校大學部三年級以上及研究所學生
U-wide UG Yr.3 above & PG students","Type U: JLPT N1/ iBT90/IELTS6.5
Type G: varies by each Graduate School",Type G: varies by each Graduate School,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,研究生申請條件 PG Eligibility
,,,,,,,,需額外申請文件 Extra application document is required
